N,P,K,temperature,humidity,ph,rainfall,season_length,altitude,label
135.45,40.17,155.98,22.94,65.51,6.3,682.6,109.76,184.04,tomato
108.63,51.15,56.05,27.43,83.24,5.55,1470.95,180.91,0.0,rice
84.27,30.0,69.18,25.59,75.63,6.72,811.25,309.16,182.89,citrus
58.21,25.93,30.75,18.98,46.5,7.43,712.0,187.51,337.42,olive
37.54,48.89,26.92,15.55,45.0,6.49,282.24,99.93,509.14,chickpea
113.78,44.05,37.83,25.51,93.85,6.35,1183.82,157.19,0.0,rice
50.84,43.27,40.08,17.06,56.86,6.38,271.93,118.71,289.5,wheat
60.93,25.22,9.18,12.23,46.35,6.86,717.71,154.65,350.81,wheat
80.39,32.99,31.98,19.1,44.3,6.63,525.36,171.24,262.99,wheat
59.67,23.14,59.88,19.03,43.62,6.96,313.31,251.72,411.75,almond
42.95,34.61,50.23,21.64,37.43,8.21,269.88,253.85,311.62,olive
1.46,33.96,44.53,15.61,55.25,7.55,239.84,110.69,588.15,lentil
71.88,25.71,84.25,20.99,61.18,5.85,696.64,205.62,0.0,grape
91.3,38.14,18.74,29.65,77.82,5.75,1374.87,85.44,0.0,rice
106.25,62.89,65.79,24.95,73.37,6.87,1481.48,168.05,0.0,rice
97.7,72.23,65.04,28.06,91.51,5.08,1334.34,124.31,114.96,rice
104.1,58.36,214.53,30.25,83.7,6.01,1840.82,254.23,9.81,banana
141.57,38.2,179.59,27.7,59.47,6.31,864.57,128.45,73.38,tomato
63.17,31.88,124.82,18.11,51.29,7.22,787.35,166.96,455.77,grape
34.93,43.2,49.92,22.04,31.38,8.41,423.04,148.94,606.89,chickpea
60.68,6.98,63.43,14.19,32.78,6.94,471.5,220.89,438.98,almond
107.76,76.11,184.46,26.2,70.43,5.97,1707.73,222.32,0.0,banana
13.21,21.47,34.28,19.08,44.3,7.04,620.56,238.4,574.43,fig
139.36,49.79,103.26,25.72,65.07,5.89,1656.63,295.66,80.02,sugarcane
23.69,26.53,65.26,17.75,46.3,7.04,532.61,231.16,368.64,olive
48.68,12.22,37.86,21.07,51.65,7.39,393.88,210.81,235.46,fig
59.2,26.53,0.0,16.6,44.21,7.13,276.5,89.52,182.05,wheat
118.56,60.5,83.21,23.63,86.03,6.29,1568.17,169.13,34.19,rice
104.17,62.37,217.4,24.33,76.84,6.03,1376.13,289.6,30.41,banana
153.07,56.55,180.6,18.31,62.37,5.73,700.64,100.25,123.17,tomato
29.89,34.86,33.66,17.79,58.71,7.57,421.89,207.17,482.46,fig
11.01,21.88,34.72,17.71,39.36,7.64,539.04,239.65,419.15,almond
87.79,43.57,24.52,17.37,44.38,7.75,687.64,159.99,417.44,wheat
174.33,52.76,160.2,28.81,76.48,6.75,1788.7,292.04,199.73,sugarcane
97.7,61.64,107.79,21.35,38.37,5.45,594.91,168.54,50.41,cotton
98.03,59.35,119.46,32.51,78.36,5.06,1873.25,352.47,80.01,sugarcane
52.24,15.54,60.57,19.68,44.04,7.65,225.12,274.04,373.57,olive
47.05,23.35,78.51,29.91,57.86,7.33,575.27,162.91,452.85,fig
77.48,34.74,124.04,30.4,61.14,5.02,818.21,175.1,124.31,mango
32.29,53.88,64.78,20.9,39.43,6.74,469.02,183.44,701.79,chickpea
109.49,46.52,80.07,21.51,63.89,7.21,863.85,161.44,65.58,maize
29.75,55.42,62.26,16.06,45.1,8.25,402.63,137.14,428.42,chickpea
125.77,64.97,70.1,24.27,59.31,6.06,798.59,185.56,179.42,cotton
53.23,56.49,40.13,19.08,41.73,6.99,180.28,87.39,511.96,lentil
57.63,35.15,133.71,14.12,56.38,6.06,832.2,178.51,302.43,grape
98.3,41.74,88.75,30.19,62.97,4.81,1079.43,113.22,86.92,mango
39.45,9.53,18.85,16.31,53.95,7.76,510.91,207.87,324.12,olive
152.85,52.14,138.8,27.65,44.52,6.48,657.57,113.87,0.0,tomato
63.14,33.62,34.67,19.23,40.54,6.84,309.33,239.43,417.03,olive
53.54,49.67,40.18,12.12,56.19,6.45,638.24,84.55,523.18,wheat
50.52,13.93,71.18,19.47,58.15,6.69,771.06,284.2,4.79,citrus
34.97,9.35,44.4,18.14,48.53,8.3,436.04,244.25,505.73,fig
10.92,19.05,8.56,19.77,39.93,7.05,330.99,234.61,514.06,almond
65.36,36.01,131.97,32.64,45.21,6.3,1188.92,159.91,55.42,mango
131.04,47.42,95.01,26.7,74.33,6.39,665.98,169.86,37.39,tomato
65.43,17.31,50.9,18.18,49.51,7.66,282.37,198.72,433.28,almond
128.8,50.81,178.13,23.08,58.96,6.2,670.32,114.31,153.29,tomato
110.15,66.63,121.13,25.02,54.89,6.4,494.52,153.76,176.87,cotton
66.77,44.62,101.53,29.89,71.39,6.15,822.64,154.88,199.7,mango
80.24,38.48,108.6,29.9,53.6,5.84,1077.73,158.74,235.1,mango
68.4,44.52,42.86,18.29,51.72,7.17,705.13,178.03,377.17,wheat
48.77,26.34,88.25,19.89,53.69,7.33,437.06,207.89,274.39,olive
56.86,17.31,111.21,16.26,60.85,5.96,544.29,186.99,331.38,grape
117.89,35.29,152.99,18.06,65.95,6.41,838.16,87.66,77.1,tomato
112.84,64.78,192.92,23.39,78.71,6.17,1679.63,307.5,33.05,banana
13.28,13.35,35.44,21.66,64.28,7.65,509.7,224.76,382.24,olive
107.14,67.43,195.67,31.44,78.5,5.94,1595.02,284.84,230.77,banana
73.6,43.7,39.3,15.19,60.28,6.88,546.84,149.45,443.97,wheat
152.42,37.55,99.46,27.1,90.63,6.59,1442.3,348.26,43.66,sugarcane
120.16,42.2,33.96,24.64,67.83,5.51,739.65,75.14,190.18,maize
102.35,66.5,172.28,20.56,67.57,6.21,805.31,137.35,62.12,tomato
103.12,62.27,215.0,27.59,84.22,4.95,1741.63,275.75,0.0,banana
123.95,50.59,99.14,31.5,63.1,6.4,777.16,195.99,261.13,cotton
118.74,45.93,61.07,26.33,47.29,6.76,466.29,169.88,9.02,cotton
71.78,56.56,101.49,24.74,61.36,7.17,1003.74,238.11,177.23,citrus
84.07,66.01,190.44,30.15,83.77,6.16,1758.65,289.97,0.0,banana
84.29,54.53,47.72,13.7,63.49,7.54,429.21,152.03,547.91,wheat
26.62,67.56,61.54,14.36,41.75,6.93,342.31,171.27,490.23,chickpea
0.0,27.3,104.26,22.75,46.21,7.83,370.31,262.08,660.21,almond
24.6,42.85,80.41,21.32,62.52,7.74,451.9,239.54,454.64,almond
77.4,37.48,102.7,33.18,41.02,4.6,815.68,130.69,400.4,mango
35.22,18.9,59.82,15.04,41.3,7.43,494.32,189.69,567.34,almond
24.9,52.15,34.88,21.05,40.54,6.22,382.14,90.57,543.33,lentil
44.92,32.06,50.52,17.59,50.21,6.76,278.52,221.65,453.62,almond
77.75,31.55,41.66,16.97,48.52,6.7,356.26,149.59,234.67,wheat
133.76,43.98,101.36,25.44,55.65,5.38,530.97,150.42,164.21,cotton
14.81,6.03,17.08,20.24,39.57,7.53,431.52,235.67,442.21,almond
0.0,45.87,64.05,11.93,50.06,6.62,453.98,114.03,566.4,lentil
82.08,30.7,61.14,22.93,74.19,7.07,704.25,296.94,0.0,citrus
50.12,29.15,85.13,16.92,64.19,6.39,707.98,222.03,210.05,grape
137.82,50.15,156.89,25.23,73.27,5.72,927.08,167.65,119.3,tomato
107.47,49.03,23.6,23.48,76.17,6.49,1560.7,109.98,0.0,rice
86.64,33.46,114.11,23.46,70.07,6.99,717.0,315.84,127.15,citrus
106.84,66.43,210.81,26.68,83.5,5.53,1652.75,323.22,45.45,banana
86.62,52.51,41.13,17.26,52.21,6.41,358.88,129.1,425.18,wheat
135.85,49.22,207.1,21.78,60.35,5.89,563.1,192.28,378.31,tomato
122.41,61.46,66.03,29.4,82.71,5.42,1552.87,145.59,65.21,rice
93.26,29.79,88.4,30.62,38.09,6.78,830.17,109.27,21.83,mango
35.48,22.31,66.86,22.2,33.88,6.56,355.77,241.21,456.93,almond
89.44,40.74,42.49,12.97,33.88,6.45,584.79,137.1,508.39,wheat
129.18,65.82,99.06,23.22,62.44,6.51,668.83,95.81,185.54,maize
20.73,18.77,74.34,13.58,43.91,7.44,218.49,200.5,477.92,almond
33.45,26.86,27.28,19.41,48.65,7.7,520.2,189.26,338.59,fig
92.74,40.27,121.63,26.79,52.77,5.63,712.2,163.69,135.43,mango
142.13,48.31,60.17,25.61,63.54,6.65,585.26,146.15,130.36,maize
22.27,25.43,92.49,15.68,39.91,6.71,494.13,221.44,582.47,almond
81.03,41.57,81.43,19.98,60.28,6.85,853.38,253.56,42.35,citrus
78.61,45.78,77.92,16.25,61.74,5.31,639.79,180.43,299.09,grape
89.66,80.34,184.56,27.04,68.46,5.95,1525.45,305.74,190.45,banana
41.83,38.91,56.6,9.04,52.9,7.23,530.37,108.9,528.77,wheat
25.51,30.3,41.07,16.21,44.11,7.55,432.33,245.26,575.34,almond
65.19,54.8,37.2,18.29,61.41,6.61,382.49,181.98,393.93,wheat
84.14,33.18,64.93,17.35,72.04,6.73,843.72,265.14,0.0,citrus
21.95,44.18,35.28,17.71,48.46,6.34,237.68,103.79,690.71,lentil
25.03,0.0,56.45,23.6,43.3,7.99,341.21,186.12,316.8,fig
68.16,44.25,119.34,27.87,46.47,6.08,954.37,146.88,304.67,mango
47.92,42.77,33.48,16.08,32.86,6.47,519.99,133.06,358.77,wheat
116.72,52.85,43.69,28.64,42.5,6.5,921.35,142.82,90.3,maize
26.18,54.12,52.12,23.07,44.16,8.3,368.82,110.27,643.18,chickpea
36.06,21.73,146.32,17.59,61.38,6.15,508.24,186.43,401.55,grape
60.79,30.51,53.2,19.03,74.49,6.56,920.39,355.89,0.0,citrus
80.8,32.69,31.52,15.95,49.98,6.22,328.51,159.66,587.65,wheat
93.48,50.18,94.67,30.43,45.88,5.38,1187.65,119.51,437.33,mango
89.07,51.7,81.11,29.25,60.57,6.2,836.99,243.62,375.76,citrus
128.81,25.95,157.27,36.31,89.36,5.57,1519.76,347.67,0.0,sugarcane
84.85,42.57,101.92,26.4,65.44,5.36,928.82,138.54,163.28,mango
30.41,41.07,50.87,11.82,37.69,6.69,490.0,128.38,543.02,lentil
126.63,39.4,55.52,25.58,62.44,5.59,932.33,136.8,148.31,maize
110.34,75.09,175.81,25.39,80.28,6.56,1702.64,243.73,71.68,banana
34.03,7.26,76.57,23.81,43.22,6.32,433.4,264.52,426.88,fig
0.0,19.62,32.3,21.87,53.6,7.01,449.35,178.77,426.32,fig
168.32,52.32,146.77,31.97,76.75,6.27,1597.87,314.54,49.37,sugarcane
147.78,46.14,115.68,30.53,76.12,6.37,1669.96,332.02,107.72,sugarcane
6.19,26.98,35.94,20.4,47.59,7.74,259.7,236.81,556.77,fig
120.85,46.66,95.62,25.09,60.43,6.47,594.53,184.52,160.43,maize
73.66,35.21,39.54,14.64,42.8,7.2,408.91,204.71,540.19,wheat
53.03,28.85,20.97,18.85,50.01,5.52,621.57,109.98,542.62,wheat
26.96,25.01,39.73,22.83,41.48,7.26,568.39,195.48,471.3,fig
62.88,16.8,32.27,21.02,38.93,7.43,454.41,183.04,614.37,almond
25.0,23.18,66.45,22.44,52.74,7.73,436.2,179.21,511.14,almond
21.68,48.33,43.87,18.04,38.77,7.2,641.49,132.13,612.02,chickpea
66.57,47.72,137.08,32.37,53.55,6.24,1067.25,120.97,179.53,mango
23.04,58.93,89.78,16.93,38.06,6.26,425.76,139.02,652.46,chickpea
67.2,32.67,52.98,11.44,55.68,7.3,645.25,211.96,186.13,grape
41.15,51.88,43.05,19.08,33.94,6.99,552.72,109.48,480.7,chickpea
26.87,17.63,107.04,18.74,51.85,7.86,304.16,202.9,544.39,almond
60.62,37.21,82.56,22.92,69.25,5.78,763.66,173.6,192.52,mango
31.88,21.89,93.26,23.26,56.07,8.39,451.03,141.37,371.16,olive
32.34,33.92,151.83,14.83,62.99,6.4,590.37,206.95,155.68,grape
41.01,57.23,92.37,17.64,36.14,6.88,411.1,156.7,428.11,chickpea
