N,P,K,temperature,humidity,ph,rainfall,season_length,altitude,label
135.45,40.17,155.98,22.94,65.51,6.3,682.6,109.76,184.04,tomato
108.63,51.15,56.05,27.43,83.24,5.55,1470.95,180.91,0.0,rice
96.71921158841852,20.708379465617273,44.7968311611516,23.70534615336347,75.63,6.72,684.7768420816083,309.16,182.89,citrus
65.14474975959936,29.122206370098702,80.52736272018554,18.745401188473625,46.5,7.43,459.46644430854064,187.51,337.42,olive
37.54,48.89,26.92,15.55,45.0,6.49,282.24,99.93,509.14,chickpea
113.78,44.05,37.83,25.51,93.85,6.35,1183.82,157.19,0.0,rice
69.12958042576317,42.170274676819545,30.208343934789998,19.729705420474623,56.86,6.38,372.70581497791545,118.71,289.5,wheat
79.30263195892763,42.93156560915634,34.47913103475069,10.341714500296515,46.35,6.86,369.58030810956836,154.65,350.81,wheat
72.97683722539233,34.36571779541483,44.11799622212652,11.851550290184734,44.3,6.63,393.60014021626455,171.24,262.99,wheat
59.67,23.14,59.88,19.03,43.62,6.96,313.31,251.72,411.75,almond
62.61319371955907,25.867528259677506,63.76005798313692,24.50714306409916,37.43,8.21,970.3495607097473,253.85,311.62,olive
1.46,33.96,44.53,15.61,55.25,7.55,239.84,110.69,588.15,lentil
71.88,25.71,84.25,20.99,61.18,5.85,696.64,205.62,0.0,grape
91.3,38.14,18.74,29.65,77.82,5.75,1374.87,85.44,0.0,rice
106.25,62.89,65.79,24.95,73.37,6.87,1481.48,168.05,0.0,rice
97.7,72.23,65.04,28.06,91.51,5.08,1334.34,124.31,114.96,rice
104.1,58.36,214.53,30.25,83.7,6.01,1840.82,254.23,9.81,banana
141.57,38.2,179.59,27.7,59.47,6.31,864.57,128.45,73.38,tomato
63.17,31.88,124.82,18.11,51.29,7.22,787.35,166.96,455.77,grape
34.93,43.2,49.92,22.04,31.38,8.41,423.04,148.94,606.89,chickpea
60.68,6.98,63.43,14.19,32.78,6.94,471.5,220.89,438.98,almond
107.76,76.11,184.46,26.2,70.43,5.97,1707.73,222.32,0.0,banana
50.0405835753768,32.54394799380868,47.68624552451247,16.319583786288753,44.3,7.04,681.5835332191439,238.4,574.43,fig
139.36,49.79,103.26,25.72,65.07,5.89,1656.63,295.66,80.02,sugarcane
53.39023416132033,24.671068666637815,47.980587934439725,22.31993941811405,46.3,7.04,572.6400276826589,231.16,368.64,olive
35.30046942528916,47.3304709993766,32.86012097326542,18.89834792000164,51.65,7.39,620.6648966524596,210.81,235.46,fig
83.96260868450182,34.534346915997,38.112789009710525,11.87924876344054,44.21,7.13,428.91111999286926,89.52,182.05,wheat
118.56,60.5,83.21,23.63,86.03,6.29,1568.17,169.13,34.19,rice
104.17,62.37,217.4,24.33,76.84,6.03,1376.13,289.6,30.41,banana
153.07,56.55,180.6,18.31,62.37,5.73,700.64,100.25,123.17,tomato
47.40685596597425,49.79491216800435,45.58629689152461,22.61112249280444,58.71,7.57,653.6076295859832,207.17,482.46,fig
11.01,21.88,34.72,17.71,39.36,7.64,539.04,239.65,419.15,almond
82.81370218620587,38.61284164347649,36.60591245936255,10.329563979914258,44.38,7.75,450.32325248646185,159.99,417.44,wheat
174.33,52.76,160.2,28.81,76.48,6.75,1788.7,292.04,199.73,sugarcane
130.13541696062438,51.24745564742399,79.62125290692009,28.81480611058413,38.37,5.45,511.3866172407644,168.54,50.41,cotton
98.03,59.35,119.46,32.51,78.36,5.06,1873.25,352.47,80.01,sugarcane
49.66107850536922,34.11828792906391,49.52420580245857,20.986584841970366,44.04,7.65,484.1846988338227,274.04,373.57,olive
57.121049593636776,23.182761498438563,59.66412078948835,21.61199281172133,57.86,7.33,841.759805330272,162.91,452.85,fig
89.00233382058688,30.935356724551145,58.66188146219709,33.10590861581416,61.14,5.02,1715.733298880758,175.1,124.31,mango
32.29,53.88,64.78,20.9,39.43,6.74,469.02,183.44,701.79,chickpea
117.15230301579928,59.28789176678563,57.596629922399686,23.869948098085782,63.89,7.21,646.4215000528476,161.44,65.58,maize
29.75,55.42,62.26,16.06,45.1,8.25,402.63,137.14,428.42,chickpea
138.8872831186704,40.121412456276246,83.53915875131025,25.0393226269686,59.31,6.06,693.6776702517034,185.56,179.42,cotton
53.23,56.49,40.13,19.08,41.73,6.99,180.28,87.39,511.96,lentil
57.63,35.15,133.71,14.12,56.38,6.06,832.2,178.51,302.43,grape
96.43108358097163,43.095970685323636,44.51006205041925,35.167033206349124,62.97,4.81,1900.7963966328866,113.22,86.92,mango
64.61512490698262,55.852733124759034,96.95638637473701,16.560186404424364,53.95,7.76,977.6862519148352,207.87,324.12,olive
152.85,52.14,138.8,27.65,44.52,6.48,657.57,113.87,0.0,tomato
29.266508976435723,37.81768410324232,92.77608980270571,16.559945203362027,40.54,6.84,1021.1734738493396,239.43,417.03,olive
69.36391460215543,31.917156141339127,47.44565777804035,11.633824757930913,56.19,6.45,365.3599009598948,84.55,523.18,wheat
88.67735470663897,34.91833875997113,57.24683223927752,24.18612049010129,58.15,6.69,922.7037684895315,284.2,4.79,citrus
39.60543502285316,26.991595639545757,45.4577340372327,19.674749244751652,48.53,8.3,799.5996069619828,244.25,505.73,fig
10.92,19.05,8.56,19.77,39.93,7.05,330.99,234.61,514.06,almond
115.07391993005825,57.3400750680974,52.288425964460586,29.41871288678084,45.21,6.3,1691.9394768536417,159.91,55.42,mango
131.04,47.42,95.01,26.7,74.33,6.39,665.98,169.86,37.39,tomato
65.43,17.31,50.9,18.18,49.51,7.66,282.37,198.72,433.28,almond
128.8,50.81,178.13,23.08,58.96,6.2,670.32,114.31,153.29,tomato
124.8114803795404,54.253656320881255,80.19566731483168,32.144010293717045,54.89,6.4,791.9406069539317,153.76,176.87,cotton
101.10058079554179,21.399274940646144,40.56010638944917,31.05141420295405,71.39,6.15,2775.9005903533816,154.88,199.7,mango
93.3686117348304,50.769248141657506,58.63577086102348,31.00430216136023,53.6,5.84,2502.4830822742874,158.74,235.1,mango
81.08186349185286,31.492264180378804,48.34667840292479,22.876450069939487,51.72,7.17,417.2704935650278,178.03,377.17,wheat
23.94845810954143,23.456417136689538,94.4225176249013,15.580836121681994,53.69,7.33,960.3829512225429,207.89,274.39,olive
56.86,17.31,111.21,16.26,60.85,5.96,544.29,186.99,331.38,grape
117.89,35.29,152.99,18.06,65.95,6.41,838.16,87.66,77.1,tomato
112.84,64.78,192.92,23.39,78.71,6.17,1679.63,307.5,33.05,banana
31.975508495476905,18.463725122139333,99.4919665496432,23.66176145774935,64.28,7.65,926.1854485711707,224.76,382.24,olive
107.14,67.43,195.67,31.44,78.5,5.94,1595.02,284.84,230.77,banana
74.83650570291552,31.767189069721944,48.95972438332391,19.293260016751006,60.28,6.88,377.8721682561765,149.45,443.97,wheat
152.42,37.55,99.46,27.1,90.63,6.59,1442.3,348.26,43.66,sugarcane
88.3286085950511,48.363824235710965,48.52065698889648,23.516885028654496,67.83,5.51,752.249160690277,75.14,190.18,maize
102.35,66.5,172.28,20.56,67.57,6.21,805.31,137.35,62.12,tomato
103.12,62.27,215.0,27.59,84.22,4.95,1741.63,275.75,0.0,banana
134.26164882755177,43.94385384744082,88.85930991370091,32.79257683984481,63.1,6.4,712.4842853864272,195.99,261.13,cotton
120.67502972779704,42.59169074249526,77.97318184135217,31.979571938650963,47.29,6.76,549.6032586666771,169.88,9.02,cotton
99.70595471387071,32.85492069267226,52.436481726115495,20.0469549680163,61.36,7.17,758.6181274191279,238.11,177.23,citrus
84.07,66.01,190.44,30.15,83.77,6.16,1758.65,289.97,0.0,banana
69.69876302441992,41.45958342612516,35.45101065308593,14.369022256135914,63.49,7.54,443.2799700726772,152.03,547.91,wheat
26.62,67.56,61.54,14.36,41.75,6.93,342.31,171.27,490.23,chickpea
0.0,27.3,104.26,22.75,46.21,7.83,370.31,262.08,660.21,almond
24.6,42.85,80.41,21.32,62.52,7.74,451.9,239.54,454.64,almond
88.31553416419987,48.90909112178508,50.4597461638342,37.553835553152815,41.02,4.6,1463.4475012096473,130.69,400.4,mango
35.22,18.9,59.82,15.04,41.3,7.43,494.32,189.69,567.34,almond
24.9,52.15,34.88,21.05,40.54,6.22,382.14,90.57,543.33,lentil
44.92,32.06,50.52,17.59,50.21,6.76,278.52,221.65,453.62,almond
72.3889977829392,37.954837137957874,48.250252190782135,21.10704017131352,48.52,6.7,332.9349841034042,149.59,234.67,wheat
109.26723861693458,46.74035624321575,74.595929103572,26.22486965452414,55.65,5.38,596.9843984517249,150.42,164.21,cotton
14.81,6.03,17.08,20.24,39.57,7.53,431.52,235.67,442.21,almond
0.0,45.87,64.05,11.93,50.06,6.62,453.98,114.03,566.4,lentil
94.58109453803075,24.990437151723047,56.345885231773096,18.52386875416219,74.19,7.07,805.7673620663193,296.94,0.0,citrus
50.12,29.15,85.13,16.92,64.19,6.39,707.98,222.03,210.05,grape
137.82,50.15,156.89,25.23,73.27,5.72,927.08,167.65,119.3,tomato
107.47,49.03,23.6,23.48,76.17,6.49,1560.7,109.98,0.0,rice
71.32929433714979,30.14637001359298,53.0317180453561,17.267500848877113,70.07,6.99,666.8808587114572,315.84,127.15,citrus
106.84,66.43,210.81,26.68,83.5,5.53,1652.75,323.22,45.45,banana
86.86055601636785,35.872335613145474,44.739311094545776,16.837172817367914,52.21,6.41,351.3849730102592,129.1,425.18,wheat
135.85,49.22,207.1,21.78,60.35,5.89,563.1,192.28,378.31,tomato
122.41,61.46,66.03,29.4,82.71,5.42,1552.87,145.59,65.21,rice
112.01299437625957,58.558137015531486,40.86446302835558,31.88339456359391,38.09,6.78,1208.9506494109912,109.27,21.83,mango
35.48,22.31,66.86,22.2,33.88,6.56,355.77,241.21,456.93,almond
70.7855307636762,36.316387593026114,33.08429496977161,11.989778516822271,33.88,6.45,385.21208396854996,137.1,508.39,wheat
107.53470646076904,44.947487021687145,54.45446300817873,28.872986699242,62.44,6.51,777.148554646629,95.81,185.54,maize
20.73,18.77,74.34,13.58,43.91,7.44,218.49,200.5,477.92,almond
50.10761928133078,48.511392544462794,43.21176701872537,16.44081228127065,48.65,7.7,608.9261588724331,189.26,338.59,fig
104.98072061457388,57.228448893301746,46.84999986016275,35.30603364027961,52.77,5.63,1268.4532291956286,163.69,135.43,mango
119.56947311090835,52.34892264430725,45.73171284608292,20.593014332123328,63.54,6.65,649.1584704061029,146.15,130.36,maize
22.27,25.43,92.49,15.68,39.91,6.71,494.13,221.44,582.47,almond
79.61781721240953,22.591074755209913,48.478990145483,22.153883423000238,60.28,6.85,782.2486674946265,253.56,42.35,citrus
78.61,45.78,77.92,16.25,61.74,5.31,639.79,180.43,299.09,grape
89.66,80.34,184.56,27.04,68.46,5.95,1525.45,305.74,190.45,banana
68.62197819958374,34.145666116981474,42.20540056616421,22.383029137170897,52.9,7.23,477.8829579842735,108.9,528.77,wheat
25.51,30.3,41.07,16.21,44.11,7.55,432.33,245.26,575.34,almond
70.55421662130414,38.2301067064387,30.526696386139825,14.741267247310615,61.41,6.61,414.66515787013805,181.98,393.93,wheat
87.15627149412855,37.43194301903122,44.561498788835806,18.81008655658662,72.04,6.73,646.4399153576262,265.14,0.0,citrus
21.95,44.18,35.28,17.71,48.46,6.34,237.68,103.79,690.71,lentil
35.63710766395249,48.749830594441605,53.81422890041247,19.415157822586423,43.3,7.99,547.0007360849493,186.12,316.8,fig
98.72261841704925,50.489302481767716,41.53698923722468,35.25892519511883,46.47,6.08,1590.5015216686804,146.88,304.67,mango
66.43855308626075,34.06116138399935,44.1675631154173,19.784029227418518,32.86,6.47,493.07922379628235,133.06,358.77,wheat
106.61525047283965,42.65825983672373,58.23572046978467,29.72147182897347,42.5,6.5,599.3023556591934,142.82,90.3,maize
26.18,54.12,52.12,23.07,44.16,8.3,368.82,110.27,643.18,chickpea
36.06,21.73,146.32,17.59,61.38,6.15,508.24,186.43,401.55,grape
91.64408613614461,27.157961710912957,41.4007045066233,24.185847129220498,74.49,6.56,839.8694795498624,355.89,0.0,citrus
