N,P,K,temperature,humidity,ph,rainfall,label
29.75,13.7,22.833333333333332,6.518461538461538,67.89538461538461,7.3,39.08692307692308,apple
14.0,6.9,11.5,11.40230769230769,61.91230769230769,7.1,26.769615384615385,apple
85.5,32.0,53.333333333333336,3.8146153846153847,88.16538461538462,5.2,147.315,apple
66.0,53.1,88.5,7.990769230769231,62.818461538461534,6.0,75.78076923076922,apple
33.625,9.95,16.583333333333332,4.827692307692308,73.99615384615385,7.2,54.82961538461539,apple
22.625,9.7,16.166666666666668,26.43769230769231,78.01692307692308,5.8,127.63076923076923,banana
23.625,12.15,20.25,25.301538461538463,78.28846153846153,5.7,119.44269230769231,banana
60.0,40.0,50.0,28.20923076923077,79.09,6.5,179.7153846153846,banana
60.0,40.0,50.0,28.151538461538465,78.75153846153846,6.5,227.92884615384617,banana
42.875,20.9,34.833333333333336,27.003846153846155,79.51692307692308,5.4,162.6119230769231,banana
14.5,4.6,7.666666666666667,26.017692307692307,51.02461538461539,7.3,76.41423076923077,blackgram
16.75,6.6,11.0,25.663076923076922,53.62230769230769,7.5,107.26615384615386,blackgram
16.625,5.8,9.666666666666666,25.36,54.25384615384615,7.4,106.32769230769232,blackgram
12.5,4.4,7.333333333333333,25.513846153846153,50.8,7.3,84.03923076923077,blackgram
15.0,3.85,6.416666666666667,25.474615384615387,49.389230769230764,7.4,69.30538461538461,blackgram
15.375,4.95,8.25,27.401538461538465,32.71384615384615,7.8,19.191538461538464,chickpea
7.125,3.0,5.0,26.56153846153846,36.32230769230769,7.7,27.098076923076924,chickpea
13.75,3.25,5.416666666666667,25.366153846153846,42.15615384615384,7.4,41.43307692307692,chickpea
4.5,2.35,3.9166666666666665,28.194615384615382,38.38,8.0,19.191538461538464,chickpea
7.375,2.55,4.25,27.205384615384617,34.44307692307692,7.9,23.03923076923077,chickpea
60.0,40.0,50.0,27.806153846153848,78.88384615384615,6.5,187.22307692307692,coconut
23.75,21.35,35.583333333333336,27.27692307692308,67.86615384615385,7.4,68.64846153846155,coconut
32.375,20.1,33.5,28.33153846153846,71.80923076923077,7.2,84.79,coconut
60.0,40.0,50.0,27.766153846153845,78.71461538461539,6.5,194.8246153846154,coconut
