N,P,K,ph,temp_summer,temp_winter,rain_summer,rain_winter,altitude,label
135.45,40.17,155.98,6.3,28.81,11.24,236.45,218.25,184.04,tomato
108.63,51.15,56.05,5.55,28.9,25.81,761.11,338.21,360.67,rice
96.71921158841852,20.708379465617277,44.7968311611516,6.72,33.95,17.58,100.66,501.93,63.7,citrus
65.14474975959936,29.122206370098706,80.52736272018554,7.43,25.84,11.64,36.95,280.23,348.4,olive
37.54,48.89,26.92,6.49,25.3,-0.12,50.21,101.16,509.14,chickpea
113.78,44.05,37.83,6.35,27.61,22.69,870.76,153.84,308.54,rice
69.12958042576317,42.170274676819545,30.20834393479,6.38,31.28,7.45,101.19,124.52,304.08,wheat
79.30263195892763,42.93156560915634,34.47913103475069,6.86,24.04,-7.45,115.19,133.39,356.28,wheat
72.97683722539233,34.36571779541483,44.11799622212652,6.63,23.96,-2.79,68.65,157.06,255.02,wheat
59.67,23.14,59.88,6.96,30.49,11.48,36.42,164.39,411.75,almond
62.61319371955907,25.867528259677503,63.76005798313692,8.21,33.63,15.23,66.45,764.47,621.23,olive
1.46,33.96,44.53,7.55,29.25,-1.76,64.66,116.17,588.15,lentil
71.88,25.71,84.25,5.85,27.52,13.81,37.98,369.31,0.0,grape
91.3,38.14,18.74,5.75,31.82,27.56,1029.26,211.06,168.56,rice
106.25,62.89,65.79,6.87,27.58,23.39,1097.27,164.71,592.13,rice
97.7,72.23,65.04,5.08,31.38,26.27,669.38,296.65,424.11,rice
104.1,58.36,214.53,6.01,33.44,26.16,961.3,283.06,69.52,banana
141.57,38.2,179.59,6.31,36.02,17.96,230.13,183.9,73.38,tomato
63.17,31.88,124.82,7.22,25.98,10.16,96.81,515.73,455.77,grape
34.93,43.2,49.92,8.41,35.36,7.21,73.57,187.26,606.89,chickpea
60.68,6.98,63.43,6.94,24.75,4.82,59.93,281.73,438.98,almond
107.76,76.11,184.46,5.97,28.77,23.49,866.89,198.41,18.86,banana
50.0405835753768,32.54394799380868,47.68624552451247,7.04,26.14,8.43,68.74,520.07,574.43,fig
139.36,49.79,103.26,5.89,27.47,23.08,1203.82,222.52,46.19,sugarcane
53.39023416132033,24.67106866663781,47.980587934439725,7.04,30.06,15.35,81.87,414.16,508.56,olive
35.30046942528916,47.3304709993766,32.86012097326542,7.39,30.13,8.08,42.61,469.86,235.46,fig
83.96260868450182,34.534346915997,38.112789009710525,7.13,23.12,-4.97,141.21,155.95,376.08,wheat
118.56,60.5,83.21,6.29,25.31,20.92,1168.92,359.28,4.17,rice
104.17,62.37,217.4,6.03,26.86,21.66,779.76,162.36,202.57,banana
153.07,56.55,180.6,5.73,27.02,10.37,212.83,238.64,123.17,tomato
47.40685596597425,49.79491216800435,45.58629689152461,7.57,30.79,10.78,95.59,327.27,482.46,fig
11.01,21.88,34.72,7.64,26.69,9.9,42.31,223.57,419.15,almond
82.81370218620587,38.61284164347649,36.60591245936255,7.75,21.99,-4.69,72.18,160.19,1653.23,wheat
174.33,52.76,160.2,6.75,30.53,27.23,1157.0,443.32,145.23,sugarcane
130.13541696062438,51.24745564742399,79.62125290692009,5.45,31.83,24.77,292.15,107.0,220.67,cotton
98.03,59.35,119.46,5.06,35.41,28.98,1237.72,212.7,501.18,sugarcane
49.66107850536922,34.11828792906391,49.52420580245857,7.65,28.91,13.87,26.18,308.11,543.66,olive
57.121049593636776,23.182761498438563,59.66412078948835,7.33,27.71,12.54,61.15,553.94,452.85,fig
89.00233382058688,30.935356724551145,58.66188146219709,5.02,34.63,29.34,1056.93,412.65,82.51,mango
32.29,53.88,64.78,6.74,30.95,8.22,157.09,223.0,701.79,chickpea
117.15230301579928,59.28789176678563,57.596629922399686,7.21,29.16,13.91,234.94,201.06,65.58,maize
29.75,55.42,62.26,8.25,27.24,2.61,67.89,193.04,428.42,chickpea
138.8872831186704,40.121412456276246,83.53915875131025,6.06,28.74,21.51,417.39,105.7,435.57,cotton
53.23,56.49,40.13,6.99,32.46,1.76,55.16,77.23,511.96,lentil
