crop,kc,kcb
almond,0.85,0.70
apple,0.90,0.75
banana,1.15,1.00
barley,1.10,0.95
blackgram,1.00,0.85
chickpea,0.95,0.80
citrus,0.80,0.65
coconut,1.00,0.85
coffee,1.00,0.90
cotton,1.15,1.00
fig,0.85,0.70
grape,0.90,0.70
hazelnut,0.85,0.70
jute,1.05,0.90
kidneybeans,1.00,0.85
lentil,0.95,0.80
maize,1.20,1.05
mango,0.95,0.80
mothbeans,1.00,0.85
mungbean,0.95,0.80
muskmelon,1.05,0.90
olive,0.75,0.55
onion,0.90,0.75
orange,0.80,0.65
papaya,1.00,0.85
pigeonpeas,0.95,0.80
pomegranate,0.85,0.70
potato,1.15,1.00
rice,1.20,1.05
sugarbeet,1.05,0.90
sugarcane,1.20,1.05
sunflower,0.95,0.80
tea,0.90,0.80
tomato,1.15,1.00
watermelon,1.05,0.90
wheat,1.10,0.95
