Country/Region,Commodity,Season,Area Harvested,Closing Stocks,Crush,Domestic Supply,Domestic Utilization,Exports (ITY),Exports (NMY),Extraction Rate,Feed Use,Food Use,Imports (ITY),Imports (NMY),Industrial Use,Opening Stocks,Other Uses,Per Capita Food Use,Production,Production Paddy,Residual,Seeds,Stocks to Use Ratio,Supply,Total Supply,Total Utilization,Trade,Yield,Next_Year_Production
Argentina,COARSE GRAINS,2000/01,4.573,1.235,0.0,22.858,8.852,12.803,12.791,0.0,6.896,0.268,0.02,0.02,0.0,1.171,1.688,7.2,21.687,0.0,0.0,0.0,13.141093849755269,0.0,22.878,22.878,0.0,4.742,19.588
Argentina,COARSE GRAINS,2001/02,4.156,1.231,0.0,20.823,9.398,9.584,10.196,0.0,7.621,0.268,0.002,0.002,0.0,1.235,1.509,7.1,19.588,0.0,0.0,0.0,15.764871614266504,0.0,20.825,20.825,0.0,4.713,18.728
Argentina,COARSE GRAINS,2002/03,3.583,1.0725,0.0,19.959,7.8085,12.347,11.098,0.0,6.5165,0.273,0.022,0.02,0.0,1.231,1.019,7.2,18.728,0.0,0.0,0.0,14.385353095030514,0.0,19.979,19.979,0.0,5.227,19.15
Argentina,COARSE GRAINS,2003/04,3.502,1.126,0.0,20.2225,7.4555,10.34,11.668,0.0,5.7205,0.278,0.026,0.027,0.0,1.0725,1.457,7.2,19.15,0.0,0.0,0.0,14.161740661552006,0.0,20.2495,20.2495,0.0,5.468,18.689
Argentina,COARSE GRAINS,2004/05,3.492,0.858,0.0,19.815,7.951,12.852,11.028,0.0,6.539,0.283,0.024,0.022,1.36,1.126,1.129,7.3,18.689,0.0,0.95,0.0,9.906477312088674,0.0,19.837,19.837,0.0,5.352,24.482
Argentina,COARSE GRAINS,2005/06,3.838,1.81,0.0,25.34,8.661,11.927,14.896,0.0,6.674,0.288,0.025,0.027,1.44,0.858,1.699,7.3,24.482,0.0,0.83,0.0,21.710447403142616,0.0,25.367,25.367,0.0,6.379,18.349
Argentina,COARSE GRAINS,2006/07,3.49,1.51,0.0,20.159,8.337,14.429,10.336,0.0,6.45,0.288,0.024,0.024,1.5,1.81,1.599,7.3,18.349,0.0,0.85,0.0,18.075195206123063,0.0,20.183,20.183,0.0,5.258,26.59799
Argentina,COARSE GRAINS,2007/08,4.13438,3.01,0.0,28.10799,8.35399,16.746,16.769,0.0,6.04799,0.298,0.025,0.025,1.53,1.51,2.008,7.4,26.59799,0.0,0.88,0.0,40.43658073109607,0.0,28.13299,28.13299,0.0,6.433,26.98422
Argentina,COARSE GRAINS,2008/09,4.87391,2.111,0.0,29.99422,7.443755,13.878,20.463465,0.0,5.007755,0.298,0.024,0.024,1.63,3.01,2.138,7.4,26.98422,0.0,0.73,0.0,36.4265722440218,0.0,30.01822,30.01822,0.0,5.536,16.17122
Argentina,COARSE GRAINS,2009/10,3.42068,0.911,0.0,18.28222,5.79522,14.888,11.6,0.0,4.13422,0.303,0.024,0.024,1.79,2.111,1.358,7.4,16.17122,0.0,0.94,0.0,10.26750282384504,0.0,18.30622,18.30622,0.0,4.727,30.00152
Argentina,COARSE GRAINS,2010/11,4.74302,2.162,0.0,30.91252,8.872654,19.112,19.899866,0.0,6.461654,0.303,0.022,0.022,1.79,0.911,2.108,7.3,30.00152,0.0,0.93,0.0,23.248536750861067,0.0,30.93452,30.93452,0.0,6.325,32.83751
Argentina,COARSE GRAINS,2011/12,6.9425,4.008,0.0,34.99951,9.29951,21.599,21.713,0.0,6.53851,0.303,0.021,0.021,2.03,2.162,2.458,7.3,32.83751,0.0,0.87,0.0,42.02806379918807,0.0,35.02051,35.02051,0.0,4.73,31.18325
